133
0 123,1b
4 123,1b
8 123,1b
12 123,1b
16 123,1b
20 123,1b
24 123,1b
28 123,1b

32 123,0.5b
34 123,0.5b
36 123,1b
40 123,0.5b
42 123,0.5b
44 123,1b

48 123,0.5b
50 123,0.5b
52 123,1b
56 123,0.5b
58 123,0.5b
60 123,1b

64 123,0.5b
66 123,0.5b
68 123,1b
72 123,0.5b
74 123,0.5b
76 123,1b

80 123,0.5b
82 123,0.5b
84 123,1b
88 123,0.5b
90 123,0.5b
92.5 123,0.5b
94 123,0.5b

96 123,1b
100 123,1b
104 123,2b

112 123,1b
116 123,1b
120 123,2b

128 123,1b
132 123,1b
136 123,2b

144 123,0.5b
146 123,0.5b
148 123,1b
152 123,0.5b
154 123,0.5b
156.5 123,0.5b
158 123,0.5b

160 123,1b
164 123,1b
168 123,1b
172 123,1b
176 123,2b
184 123,2b
192 123,1b
196 123,1b
200 123,1b
204 123,1b
208 123,2b
216 123,2b

224 123,1b
228 123,1b
232 123,1b
236 123,1b
240 123,2b
248 123,2b
256 123,1b
260 123,1b
264 123,1b
268 123,1b
272 123,2b
280 123,2b
284.5 123,0.5b
